,precision,recall,f1-score,support
AMBULANCE,0.6451612903225806,0.8275862068965517,0.7250755287009063,145.0
FIRETRUCK,0.9385593220338984,0.6671686746987951,0.7799295774647887,1328.0
POLICE,0.6874500399680256,0.9158679446219382,0.7853881278538812,939.0
NORMAL,0.8407310704960835,0.9147727272727273,0.8761904761904762,352.0
accuracy,0.7916063675832128,0.7916063675832128,0.7916063675832128,0.7916063675832128
macro avg,0.777975430705147,0.8313488883725031,0.7916459275525131,2764.0
weighted avg,0.8254009012671448,0.7916063675832128,0.7911653148367268,2764.0
